Name,Rating,Review
No Name,5.0,"being a fan of the 1922, 1979, and other interpretations, i viewed nosferatu 2024 hoping that robert eggers would pay appropriate tribute to the story, as well as making this one feel different, and purposeful. what i got was a remake that doesn't try to outdo any of the other films, but pay appropriate tribute to them as well as creating a different experience, one that is eery and technically impressive.  yes, technically it is a gorgeous film, despite it being dreary. it's a world of 1838 before electricity. rooms are dark. crackling fires and candles make up the light. muted colors fill out the palette. camerawork and sound put you in the world of this vampire who can ingrain fear into people. apart from these achievements, the way the story unfolds is risky. it asks the audience to be involved and to understand character motivations (which help if you know the original nosferatu), but also to understand the time setting and how the actors are portraying their characters, which tends to be very theatrical. very much silent film acting.   for many people, it just won't be a film for them. their idea of this film dragging on, is my idea of enjoying the world that was created. their absence of seeing character motivations or visual cues are things that fans of the original movie might understand a bit more. like a silent movie, this sound version still wants the audience to participate with their mind. i will concede that it won't work for everyone, but to me, it was an incredible viewing experience."
Kenton,5.0,the cinematography and settings were fantastic.  the count was truly menacing.  reminds me of the old horror movies that i grew up watching.  much more gory and graphic however.
Azia,2.5,so sexually charged. is that the under lining meaning of nosferatu? kinda turned me off from it.. ha the irony
No Name,2.0,"a slow burn gothic tale with lots of atmosphere.  however, this all feels a little too familiar after great movies, such as bram stoker's dracula.  i definitely found it lacking in the horror suspense department.  if you like gothic period pieces, this might entertain you..  if you are looking for a good fright night, it's a lacking."
No Name,1.0,slow boring over acted and filmed mainly in darkness it’s crippling tedious. every scene is drawn out and overacted. it’s like each actor was told to reenact a school hamlet play. not scary. just tedious. would have been better to just watch one of the old dracula films from the 1940’s. looked the same and probably more scary. absolute waste of money.
No Name,5.0,"stylish, cinematic, horrific. every actor was a pro! lilli was brilliant! they don't make films like this anymore! oscar material."
Mothermayeye,1.0,"i was so utterly let down by this movie.  found myself saying ""why? why? why?"" a lot through out the lengthy film.  dr. robotnik?  faking seizures?  why?  visually stunning?  we left early only to go home and watch interview with a vampire.  kirsten dunst, iconic performance.  i give flowers where they are due and this was a waste of 30."
Jared,4.0,excellent cinematography and a great soundtrack set the dreary mood of this movie. the characters portrayed a sense of dread and despair that was quite convincing as a viewer.
Bryan P,3.0,disjointed. glitches in storyline.
No Name,5.0,"el romance gótico y las historias no estaban en mi entendimiento, y nosferatu me emergió en la historia de amor que se explica de una manera perturbadora y bella. muestra que no siempre el romance es hermoso, puede ser obsesivo y trágico, esta película explica perfectamente esa idea, no es lenta y en el transcurso deja clara cada idea. una máster class de imagen, audio e interpretación."
No Name,4.5,"wow, what a movie! eggers crushes this one and makes the 2h+ time commitment a heck of a ride that's well worth it. the casting choices made sense and the plot/storytelling lured you in right away.  from a technical standpoint - production design, photography, makeup & costume design, this team puts on a breathtaking masterpiece that's both terrifying and stunning to look at.   we can stop making vampire movies, this one's execution would be very difficult to surpass. well done, nosferatu team!"
Vixen,5.0,"absolutely wonderful, perfect amount of jump scares, but more importantly captured a ton of the true elements of the nosferatu"
No Name,0.5,"i anticipated the movie to be a true horror movie, during the movie i found myself as well as other people laughing at certain scenes. despite the vulgar scenes and story lines i am sad to say i rated this movie a 4/10. although the characters were great the story was a miss."
Chris J,2.0,"molasses slow retelling of the original nosferatu. neither engaging or scary... atmospheric, yes. very darkly lit. the count is menacing but not scary. completely anticlimactic end. willem dafoe is a favorite actor but he took me out of the film. his wig was poor and his style of acting necessitates others around him are in the same space. they were not.  just really droll and unnecessary."
No Name,5.0,the best adaptation of nosferatu. cant wait for the 4k extended cut steelbook
No Name,1.0,"it’s a well made movie, but just not good. the dialog is overdone, too many story lines, and just a very very slow movie."
No Name,1.0,"i have to say that i thought it was essentially a re-newed version if bram stoker's film dracula, the similarities are almost too many. i preferred that to this. sorry, not my cup of tea at all. 😒"
Bunnie,4.0,much different filming format than other previous vampire movies but definitely worthy of all the praises it's been receiving.
No Name,4.0,"as a fan of the horror genre, i was pleasantly surprised with this movie take on the beloved origin story. the movie was well-written and the cast was amazing a worthy watch for horror fans."
No Name,5.0,if you like the classic hammer horror films you will love this. if you don’t you probably won’t like it. one of the best horror movies i have seen in a while.
No Name,5.0,"i loved this movie from start to finish, amazing work from everyone that worked in it.  from the effects, the designs of the clothes, the acting to the pacing of the story everything was tailored and curated in the best way! one of the best film i saw in the last year!"
No Name,2.0,bill was average. could have saved heaps by having his brother gustav play the role. so many desperate to talk this movie up for some reason. it's not visually incredible but is an overacting masterpiece if that's your thing. ps depps daughter has weirdly large nipples
Noah B,4.0,visually fantastic. great performances. i thought the writing didnt match the rest but overall such a great movie.
No Name,1.0,do not believe these reviews. this move has no plot no story nothing at all. trash movie prob was the worst move i watched in theaters.
No Name,1.0,second most boring movie i have ever seen. they should provide night vision goggles just to see what's happening. dialogue was beyond terrible. the only redeemable element was costuming. walk don't run.
Karen g,0.5,"so disappointed! put it this way i didn't even finish it. i walked out before it even ended ughhh good thing went on the cheap day. like get on with it i wanted moreeeeeeee, this was just ughhhhhh no no no"
Nicholas,0.5,too long to introduce william dafoe character. the movie was too long to get to point. not a good picture.
Mary,4.0,stunning cinematography. plot a bit slow
