Name,Rating,Review
No Name,4,One of the best action films ever created.
No Name,5,One of the best action movies ever made. Pack with action and you will be  sad watching it. I DO NOT CARE WHO YOU ARE YOU NEED TO SEE THIS.
No Name,5,Amazing in theatre's. Underwhelming at home unless you've seen it on a big screen with surround sound first.
No Name,5,Lmkiytfgjgsxfhnjhddgf
No Name,1,Cowboys and Indians in the Great Australian Outback.. There is NO plot.. just one L-O-N-G chase with LOTS of dead and dying  that ultimately circled 'round itself...
No Name,5,You must take this ride!
No Name,5,"Great movie, but should've been a different supporting character - not Mad Max.."
No Name,0.5,"Utter garbage. Terrible story, terrible acting, ridiculous special effects."
No Name,5,Simply incredible. Two hours of suspension of disbelief and immersive dystopian entertainment. What more can you say: Mad Max to the max.
No Name,5,This movie literally made me tired sitting through it. In the best sort of way. I felt exhausted like I was along for the ride. It’s a great action movie and is pretty much go-go-go from the beginning with little time wasted on exhibition.
No Name,4,"Crazy, entertaining and fun, but overly voilent. Provided you don't take this movie too seriously - it's thoroughly enjoyable. Tip: If you haven't seen this - watch Furiosa first (even though it's a more recent release) - as this movie seamlessly flows on after Furiosa and it's well worth watching them back to back."
No Name,5,Esse é o melhor filme de ação de todos os tempos
No Name,3.5,"With astonishing moments and great, yet sometimes awkward visuals, it’s hard to decide what I thought of this movie and really, the entire franchise as a whole. The action was more than serviceable and lived up to its reputation, and the story was a step above the likes of Thunderdome for sure. As for the actors, they were all tremendous in their roles and the acting was far beyond the first three movies with Tom Hardy taking control of the lead role and Charlize Theron joining the fray. As a new addition to the franchise that is Mad Max, it is refreshing and nice to see, but as for the franchise itself, I don’t believe I am too fond of its style."
B,5,A perfect action film. No notes.
No Name,5,This movie was pure adrenaline from start to finish.. loved it!
No Name,4,"Probably one of the best action movies ever. I'd recommend it, especially if you're really into this kind of genre."
No Name,5,Excellent and captivating cinematography. Top tier action and story accompanied with excellent pacing. An immersive adventure off originality. Exceeds the original films in everyway.
No Name,4,This movie is so good. Highly entertaining and the performances are awesome. My guy Tom Hardy kills it!
No Name,5,It couldn't be more peak than this.Absolute cinema!
No Name,1,Just saw the Space Ice version and you gotta be forkin' kiddin' me.
No Name,5,"Absolutely exhilarating, and endlessly entertaining. George Miller's masterpiece of death and destruction will stand strong for years to come thanks to awesome characters and amazing practical effects that most of Hollywood has forgotten about by now."
No Name,4,"Filme foda, o roteiro é legal, o vilão é bacana, mas o que torna o filme melhor são as cenas de ação que são muito excelentes, que passam em um deserto de areia gostei do tom hardy como mad max, gostei da participação da cherlize theron como furiosa, gostei de uma cena em que o maluco estava segurandobuma guitarra enquanto saia fogo pelos canos pelo caminhão, as cenas de dialogo algumas foram boas e outras não, mas com tudo isso, eu recomendo muito esse filme, esse foi o melhor da franquia mad max."
No Name,4.5,"Direção: Bom
Atuação: Bom
Roteiro: Ok
Caracterização: Bom
Soundtrack: Bom"
No Name,5,"As good as any movie I have ever seen, amazing."
No Name,3,"Not special story in whole, similar endings have been seen many (in different locations depending the script). Beginning is interesting and endures as such quite well but not till end. On my opinion."
