Name,Rating,Review
No Name,5,"Being a fan of the 1922, 1979, and other interpretations, I viewed Nosferatu 2024 hoping that Robert Eggers would pay appropriate tribute to the story, as well as making this one feel different, and purposeful. What I got was a remake that doesn't try to outdo any of the other films, but pay appropriate tribute to them as well as creating a different experience, one that is eery and technically impressive.

Yes, technically it is a gorgeous film, despite it being dreary. It's a world of 1838 before electricity. Rooms are dark. Crackling fires and candles make up the light. Muted colors fill out the palette. Camerawork and sound put you in the world of this vampire who can ingrain fear into people. Apart from these achievements, the way the story unfolds is risky. It asks the audience to be involved and to understand character motivations (which help if you know the original Nosferatu), but also to understand the time setting and how the actors are portraying their characters, which tends to be very theatrical. Very much silent film acting. 

For many people, it just won't be a film for them. Their idea of this film dragging on, is my idea of enjoying the world that was created. Their absence of seeing character motivations or visual cues are things that fans of the original movie might understand a bit more. Like a silent movie, this sound version still wants the audience to participate with their mind. I will concede that it won't work for everyone, but to me, it was an incredible viewing experience."
Kenton,5,The cinematography and settings were fantastic.  The Count was truly menacing.  Reminds me of the old horror movies that I grew up watching.  Much more gory and graphic however.
Azia,2.5,So sexually charged. Is that the under lining meaning of nosferatu? kinda turned me off from it.. ha the irony
No Name,2,"A slow burn gothic tale with lots of atmosphere.  However, this all feels a little too familiar after great movies, such as Bram Stoker's Dracula.  I definitely found it lacking in the horror suspense department.  If you like gothic period pieces, this might entertain you..  If you are looking for a good fright night, it's a lacking."
No Name,1,Slow boring over acted and filmed mainly in darkness it’s crippling tedious. Every scene is drawn out and overacted. It’s like each actor was told to reenact a school hamlet play. Not scary. Just tedious. Would have been better to just watch one of the old Dracula films from the 1940’s. Looked the same and probably more scary. Absolute waste of money.
No Name,5,"Stylish, Cinematic, horrific. Every actor was a pro! Lilli was brilliant! They don't make films like this anymore! Oscar material."
Mothermayeye,1,"I was so utterly let down by this movie.  Found myself saying ""Why? Why? Why?"" a lot through out the lengthy film.  Dr. Robotnik?  Faking seizures?  Why?  Visually stunning?  We left early only to go home and watch Interview with a Vampire.  Kirsten Dunst, iconic performance.  I give flowers where they are due and this was a waste of 30."
Jared,4,Excellent Cinematography and a great soundtrack set the dreary mood of this movie. The characters portrayed a sense of dread and despair that was quite convincing as a viewer.
Bryan P,3,Disjointed. Glitches in storyline.
No Name,5,"El romance gótico y las historias no estaban en mi entendimiento, y Nosferatu me emergió en la historia de amor que se explica de una manera perturbadora y bella. Muestra que no siempre el romance es hermoso, puede ser obsesivo y trágico, esta película explica perfectamente esa idea, no es lenta y en el transcurso deja clara cada idea. Una máster class de imagen, audio e interpretación."
No Name,4.5,"Wow, what a movie! Eggers crushes this one and makes the 2h+ time commitment a heck of a ride that's well worth it. The casting choices made sense and the plot/storytelling lured you in right away.

From a technical standpoint - production design, photography, makeup & costume design, this team puts on a breathtaking masterpiece that's both terrifying and stunning to look at. 

We can stop making vampire movies, this one's execution would be very difficult to surpass. Well done, Nosferatu team!"
Vixen,5,"Absolutely wonderful, perfect amount of jump scares, but more importantly captured a ton of the true elements of the Nosferatu"
No Name,0.5,"I anticipated the movie to be a true horror movie, during the movie I found myself as well as other people laughing at certain scenes. Despite the vulgar scenes and story lines I am sad to say I rated this movie a 4/10. Although the characters were great the story was a miss."
Chris J,2,"Molasses slow retelling of the original Nosferatu. Neither engaging or scary... atmospheric, yes. Very darkly lit. The count is menacing but not scary. Completely anticlimactic end. Willem Dafoe is a favorite actor but he took me out of the film. His wig was poor and his style of acting necessitates others around him are in the same space. They were not. 
Just really droll and unnecessary."
No Name,5,The best adaptation of Nosferatu. Cant wait for the 4K Extended Cut Steelbook
No Name,1,"It’s a well made movie, but just not good. The dialog is overdone, too many story lines, and just a very very slow movie."
No Name,1,"I have to say that I thought it was essentially a re-newed version if Bram Stoker's film Dracula, the similarities are almost too many. I preferred that to this. Sorry, not my cup of tea at all. 😒"
Bunnie,4,Much different filming format than other previous vampire movies but definitely worthy of all the praises it's been receiving.
No Name,4,"As a fan of the horror genre, I was pleasantly surprised with this movie take on the beloved origin story. The movie was well-written and the cast was amazing a worthy watch for horror fans."
No Name,5,If you like the classic Hammer horror films you will love this. If you don’t you probably won’t like it. One of the best horror movies I have seen in a while.
No Name,5,"I loved this movie from start to finish, amazing work from everyone that worked in it.  From the effects, the designs of the clothes, the acting to the pacing of the story everything was tailored and curated in the best way! One of the best film I saw in the last year!"
No Name,2,Bill was average. Could have saved heaps by having his brother Gustav play the role. So many desperate to talk this movie up for some reason. It's not visually incredible but is an overacting masterpiece if that's your thing. Ps Depps daughter has weirdly large nipples
Noah B,4,Visually fantastic. Great performances. I thought the writing didnt match the rest but overall such a great movie.
No Name,1,Do not believe these reviews. This move has no plot no story nothing at all. Trash movie prob was the worst move i watched in theaters.
No Name,1,Second most boring movie I have ever seen. They should provide night vision goggles just to see what's happening. Dialogue was beyond terrible. The only redeemable element was costuming. Walk don't run.
Karen g,0.5,"So disappointed! Put it this way i didn't even finish it. I walked out before it even ended ughhh good thing went on the cheap day. Like get on with it I wanted moreeeeeeee, this was just ughhhhhh no no no"
Nicholas,0.5,too long to introduce william dafoe character. The movie was too long to get to point. Not a good picture.
Mary,4,Stunning cinematography. Plot a bit slow
