Name,Rating,Review
Jared,4,Excellent Cinematography and a great soundtrack set the dreary mood of this movie. The characters portrayed a sense of dread and despair that was quite convincing as a viewer.
Bryan P,3,Disjointed. Glitches in storyline.
No Name,5,"El romance gótico y las historias no estaban en mi entendimiento, y Nosferatu me emergió en la historia de amor que se explica de una manera perturbadora y bella. Muestra que no siempre el romance es hermoso, puede ser obsesivo y trágico, esta película explica perfectamente esa idea, no es lenta y en el transcurso deja clara cada idea. Una máster class de imagen, audio e interpretación."
No Name,4.5,"Wow, what a movie! Eggers crushes this one and makes the 2h+ time commitment a heck of a ride that's well worth it. The casting choices made sense and the plot/storytelling lured you in right away.

From a technical standpoint - production design, photography, makeup & costume design, this team puts on a breathtaking masterpiece that's both terrifying and stunning to look at. 

We can stop making vampire movies, this one's execution would be very difficult to surpass. Well done, Nosferatu team!"
Vixen,5,"Absolutely wonderful, perfect amount of jump scares, but more importantly captured a ton of the true elements of the Nosferatu"
No Name,0.5,"I anticipated the movie to be a true horror movie, during the movie I found myself as well as other people laughing at certain scenes. Despite the vulgar scenes and story lines I am sad to say I rated this movie a 4/10. Although the characters were great the story was a miss."
Chris J,2,"Molasses slow retelling of the original Nosferatu. Neither engaging or scary... atmospheric, yes. Very darkly lit. The count is menacing but not scary. Completely anticlimactic end. Willem Dafoe is a favorite actor but he took me out of the film. His wig was poor and his style of acting necessitates others around him are in the same space. They were not. 
Just really droll and unnecessary."
No Name,5,The best adaptation of Nosferatu. Cant wait for the 4K Extended Cut Steelbook
No Name,1,"It’s a well made movie, but just not good. The dialog is overdone, too many story lines, and just a very very slow movie."
No Name,1,"I have to say that I thought it was essentially a re-newed version if Bram Stoker's film Dracula, the similarities are almost too many. I preferred that to this. Sorry, not my cup of tea at all. 😒"
Bunnie,4,Much different filming format than other previous vampire movies but definitely worthy of all the praises it's been receiving.
No Name,4,"As a fan of the horror genre, I was pleasantly surprised with this movie take on the beloved origin story. The movie was well-written and the cast was amazing a worthy watch for horror fans."
No Name,5,If you like the classic Hammer horror films you will love this. If you don’t you probably won’t like it. One of the best horror movies I have seen in a while.
No Name,5,"I loved this movie from start to finish, amazing work from everyone that worked in it.  From the effects, the designs of the clothes, the acting to the pacing of the story everything was tailored and curated in the best way! One of the best film I saw in the last year!"
No Name,2,Bill was average. Could have saved heaps by having his brother Gustav play the role. So many desperate to talk this movie up for some reason. It's not visually incredible but is an overacting masterpiece if that's your thing. Ps Depps daughter has weirdly large nipples
Noah B,4,Visually fantastic. Great performances. I thought the writing didnt match the rest but overall such a great movie.
No Name,1,Do not believe these reviews. This move has no plot no story nothing at all. Trash movie prob was the worst move i watched in theaters.
No Name,1,Second most boring movie I have ever seen. They should provide night vision goggles just to see what's happening. Dialogue was beyond terrible. The only redeemable element was costuming. Walk don't run.
Karen g,0.5,"So disappointed! Put it this way i didn't even finish it. I walked out before it even ended ughhh good thing went on the cheap day. Like get on with it I wanted moreeeeeeee, this was just ughhhhhh no no no"
Nicholas,0.5,too long to introduce william dafoe character. The movie was too long to get to point. Not a good picture.
Mary,4,Stunning cinematography. Plot a bit slow
