Name,Rating,Review
No Name,0.5,boring waste of time i dont recommend
No Name,5,God damn... this was one of the best films ive ever seen!
No Name,4.5,"It’s a dark, gritty, and sometimes sad presentation of the side effects of drugs"
No Name,2,"I know it’s a very popular film, and I understand why so many people like it but I just don’t. It’s upsetting because I almost feel as if I didn’t give it a chance. I may return to this one in the future just to see my take on it then, but for now I didn’t care for it. The lady that played Sara Goldfarb gave a magnificent (and I’m not using that term lightly) performance. During her scenes I felt disturbed in a way that could only be described as… cringe? But it wasn’t cringe it was just shocking. Only Saving Private Ryan has gotten that kind of reaction out of me before I saw this. So that tells me I need to rewatch this film some time soon, I think I’ll really enjoy it. Seeing Marlon Wayans in a movie other than scary movie (or just a comedy in general) made me laugh. That’s not to say he didn’t do a good job though, because he definitely did. Jennifer Connelly was just ok, and Jared Leto was decent. 2/5 stars."
No Name,5,this movie is gut wrenching and phenomenal. i’ve never not been able to breathe at the end of a movie because of how off putting it was but the last 20 minutes leading up to it was one of the if not the best ending scene of a movie.
No Name,4.5,"Watched this masterpiece  on Amazon.Consider this as similar to Magnolia or American version of trainspotting. It's dark of course the insecurity of being old resorting to prescription  medication, or younger set with hard drugs.
 Be prepared for the last 20 minutes so.much going on especially the shock treatment part ..A refrigerator  does cast on it and throughout the movie just watch how attention  is paid to the prescription   addicts refrigerator.."
No Name,5,The feeling of lost and ruined life when wrong decisions are made. So sad and heartbreaking. Movie is a masterpiece!
No Name,4,"« Requiem for a Dream » fonctionne grâce à des performances marquantes. La musique renforce la tension, tandis que les couleurs saturées et le montage dynamique illustrent avec brio la chute (la dépendance) des personnages."
No Name,3,"It was a very heavy movie, I like movies like this, but in the end, there were some very ridiculous scenes and unnecessary scenes, but there were quality scenes, I can't say it was a very bad and disgusting movie, but it was very high quality and I can't say it was great either, it had good quality scenes, there were also empty and unnecessary scenes, but the director was really in the movie. He exaggerated things a lot, I can't say it was bad or good, but I can say that it was one of the most beautiful movie soundtracks I have ever seen."
No Name,5,Very good in a disturbing way
No Name,4.5,"Definitely a very strong movie. One of those movies that exceeds expectations, the ending is so tragic, profound and fits perfectly with what was expected. If you haven't seen it, It will depend a lot on the impact that this type of story has on you. But nothing will ever deny that it's beautiful."
No Name,4,Жоский  фильм 8.9/10
No Name,5,"A dark, gritty masterpiece. Darren Aronofsky made a once in a career film with Requiem For a Dream. I've never seen anything quite like it, before or since. It is superbly acted, very well directed and masterfully edited. It takes you places you likely don't want to visit. The good news is, it's just a movie. A movie most definitely worth watching. I highly recommend. 

97/100"
