Name,Rating,Review,Sentiment
No Name,5.0,"fantastic movie, one of the great epics",positive
No Name,2.0,it’s not aged well. the action scenes are quite cringeworthy and the plot is advanced by characters who just tell you what their motives are.,positive
Paul T,5.0,best movie of all time,positive
Chris,5.0,amazing. please bring more older movies back to the theater.,positive
No Name,5.0,this first movie of the trilogy is an absolute masterpiece. love it!,positive
No Name,2.5,"it's a very enjoyable average movie. the cinematography, effects, message, villain,  and action are  all masterpieces. however that is not enough to make it a masterpiece of a movie. the characters, aside from the main agent(who is flawless i might add), were poorly written, very poorly  written. this movie's biggest problem: telling the audience something is different from explaining it to them. you can tell me the neo is the chosen one, you can tell me that morpheus views him as the chosen one, but you have to explain why. this movie saying ""well, it;s because morpheus views him as one"" is not an explanation, because this movie established morpheus's credibility. the romance was mediocre at best, at least you could tell it was going to happen unlike other movies that just shove it out of left it. i suppose that's something in this movie's favor, but it still doesn't elevate the romance out of nowhere. addiotnally, this movie has what i like to call the ""pointless side characters problem"", when there's too many characters, poorly written, that just endlessly remove screen time from the main characters, leading to every single character(well almost in this case), being underdeveloped. i didn't even understand why neo wanted to find the matrix, this movie never once answered that question. it's also incomprehensible how he got so good at the matrix. this is a critique one has to be careful of, because it could easily be thrown at every single sci-fi movie. often times i think it's thrown around unjustifiably, but this movie is not one of those times. there is no logical reason why neo should be able to beat the agent. because this movie never explained why he was looking for the matrix, and why he was the chosen one! in star wars, luke destroying the death star is justifiable, because the movie explained why he had the power of the force, and obi-wan helped him through the power of the force. you don't need some elaborate, 20 minute exposition, something as simple as what star wars did was enough. another thing i will point out, the acting, ranges from bad to mediocre. i think reeves was miscast in this role, which might be the biggest hot take in this review(which is a hot take in it of itself). his gives just a dry performance, which is not always a bad thing (works for jon wick), but it does not work for this movie. there is never an ounce of emotion shown in his face, and that really lower the quality of the movie. that pretty much goes for every character in this movie. except for the agent smith. hugo weaving  gives a superb performance. it's exactly how a character like that is supposed to act. and his motivations were explained. he wants to be free of the world he operates in, and by getting to zion, he will achieve that. perfect! that was a 3 minute scene at most, maybe even a minute and a half. that's all you need. i'm not even going to lie, i found myself rooting for him during the climax. this movie gave its villain(well maybe sub villain, since technically the matrix is the villain), a motivation with an explanation, but not's main character.  how sad is that. overall, it's just an average movie. if it wasn't for the villain, this movie would be a bad movie with great action, special effects, and great cinematography. those things alone are not enough to make a movie good. yes, without them a movie will be lowered in quality. but having a main character, whose motivations, and greatness are unexplained, poorly written side characters, a bland romance, and making your villain more lovable(even the motivations of who he works for are evil) than your main character are flaws to great to make this movie anything more than mediocre.",positive
No Name,3.5,"whilst the visual effects used in this film hold up excellently to this day, it is let down by inconsistencies within its plot or premise and a massive lack of variation in the pacing of its fight scenes. yet, it is home to some of the best scenes in movie history, and the concept which it attempts to explore is revolutionary for film-making. i admire that about it.",positive
No Name,5.0,"it is a genius action film with an engaging and exciting plot. it is thrilling, well filmed, has great dialogue and keanu reeves best acting performance by far. definitely one of the greatest examples of american action films.",positive
No Name,0.5,very silly storyline that lacked all credibility and all real human interest. not for me thank you.,negative
No Name,5.0,legendary and ahead of it’s time!,positive
No Name,5.0,one of the greatest movies of all time. do yourself a favour and watch it.,positive
jovan w,5.0,"one of the best sci-fi, action, philosophical movies ever made!",positive
No Name,5.0,just a wicked movie all around! i took the red pill ;),positive
No Name,5.0,gyatttttttt i love this movie so much bruuuhhhh i'm bouta blowww everybody can get it onggg,positive
No Name,5.0,worlds best movie!!!!,positive
No Name,5.0,"frenetico, reflexivo, tenso e maluquice desenfreada. simplesmente 10/10. espetacular wow konomoul",positive
No Name,5.0,first time i watched it it was an alright film nothing to special but i was impressed by cgi but now that i think about it now it's an absolute must see,positive
No Name,5.0,"forget the effects and ground-breaking effects, this is such a brilliant concept that asks questions about everything from ai to mortality, to self-consciousness to politics. sheer brilliance!",positive
No Name,5.0,"much taken from hongkong films but we needed it to penetrate hollywood so all is well... i was so - of yeah, i know what's happening now when i first saw this!!! great sci-fi.",positive
No Name,5.0,"this movie is a classic. you must watch it asap. it is a bizarre concept about plato's allegory of the cavern, and it is great. just give it a try. revolutionary for the time, and still is to this day.",positive
jacqueline,5.0,still a great watch. holds up after 25 years!,positive
No Name,2.0,"for the time the effects were good, keanu's acting is very wooden.. i very over hyped film it was original for it's time but nothing to make me want to rewatch.",positive
No Name,4.5,"de mis favoritas de la historia con un guion increíble, fotografía y todo lo técnico de la película es impecable, 👌🏼",neutral
Willy,5.0,"why are you reading this!!! its the matrix, what more do you need to know. always worth a watch on the big screen.",positive
No Name,5.0,"one of best movies of all time, need i say more?",positive
