Name,Rating,Review,Sentiment
No Name,0.5,boring waste of time i dont recommend,negative
No Name,5.0,god damn... this was one of the best films ive ever seen!,positive
No Name,4.5,"it’s a dark, gritty, and sometimes sad presentation of the side effects of drugs",negative
No Name,2.0,"i know it’s a very popular film, and i understand why so many people like it but i just don’t. it’s upsetting because i almost feel as if i didn’t give it a chance. i may return to this one in the future just to see my take on it then, but for now i didn’t care for it. the lady that played sara goldfarb gave a magnificent (and i’m not using that term lightly) performance. during her scenes i felt disturbed in a way that could only be described as… cringe? but it wasn’t cringe it was just shocking. only saving private ryan has gotten that kind of reaction out of me before i saw this. so that tells me i need to rewatch this film some time soon, i think i’ll really enjoy it. seeing marlon wayans in a movie other than scary movie (or just a comedy in general) made me laugh. that’s not to say he didn’t do a good job though, because he definitely did. jennifer connelly was just ok, and jared leto was decent. 2/5 stars.",positive
No Name,5.0,this movie is gut wrenching and phenomenal. i’ve never not been able to breathe at the end of a movie because of how off putting it was but the last 20 minutes leading up to it was one of the if not the best ending scene of a movie.,positive
No Name,4.5,"watched this masterpiece  on amazon.consider this as similar to magnolia or american version of trainspotting. it's dark of course the insecurity of being old resorting to prescription  medication, or younger set with hard drugs.  be prepared for the last 20 minutes so.much going on especially the shock treatment part ..a refrigerator  does cast on it and throughout the movie just watch how attention  is paid to the prescription   addicts refrigerator..",negative
No Name,5.0,the feeling of lost and ruined life when wrong decisions are made. so sad and heartbreaking. movie is a masterpiece!,negative
No Name,4.0,"« requiem for a dream » fonctionne grâce à des performances marquantes. la musique renforce la tension, tandis que les couleurs saturées et le montage dynamique illustrent avec brio la chute (la dépendance) des personnages.",neutral
No Name,3.0,"it was a very heavy movie, i like movies like this, but in the end, there were some very ridiculous scenes and unnecessary scenes, but there were quality scenes, i can't say it was a very bad and disgusting movie, but it was very high quality and i can't say it was great either, it had good quality scenes, there were also empty and unnecessary scenes, but the director was really in the movie. he exaggerated things a lot, i can't say it was bad or good, but i can say that it was one of the most beautiful movie soundtracks i have ever seen.",negative
No Name,5.0,very good in a disturbing way,positive
No Name,4.5,"definitely a very strong movie. one of those movies that exceeds expectations, the ending is so tragic, profound and fits perfectly with what was expected. if you haven't seen it, it will depend a lot on the impact that this type of story has on you. but nothing will ever deny that it's beautiful.",positive
No Name,4.0,жоский  фильм 8.9/10,neutral
No Name,5.0,"a dark, gritty masterpiece. darren aronofsky made a once in a career film with requiem for a dream. i've never seen anything quite like it, before or since. it is superbly acted, very well directed and masterfully edited. it takes you places you likely don't want to visit. the good news is, it's just a movie. a movie most definitely worth watching. i highly recommend.   97/100",positive
No Name,5.0,"a character deconstruction of addiction done altman style that is also an all time classic. one of the first things you notice is the creative tour de france of editing techniques. while this is jumpy with no one characer dominating the others, it never feels unfocused, bloated, meandering, or obnoxious with more style than substance. in fact it's got both. the editing really compliments the pacing perfectly and compensates for so many different storylines. it's a very rare case where the editing really makes this work. it uses music video techniques but unlike a lot of others around this time that try that, it doesn't feel dated at all. it comes off as surreal more than anything and really fits with the subject matter. the acting is first rate and really builds as this progresses to the climatic consequences of all the characters actions. ellen burstyn is amazing and is the best of all fo them. even though her story is arguably the most isolated of all four it's not any less fasinating and a real testament to ehr acting ability. it's brutal to watch and fasinating. shot in a masterfully surreal way that again never feels showy but really amplifies the dazed and confused atmosphere of the subject matter. it's like a comprehensive apocalypse now for drug addiction on all sides of the trade. everyone who has a strong stomach should give this a try once. if your familiar with the director than it helps going in knowing if you can handle it.",positive
No Name,4.0,"a very intense and rough watch, requiem for a dream is one of the most heartbreaking films i've ever seen. it's not just a depressing film, i really felt attached to all of the characters, and that makes it all the more sad what happens to them. this is a film that i found amazing, but that i might not want to go through again.",positive
No Name,3.5,in an intense look into drug use and the effects it can have on your life. the editing is definitely top tier.,positive
No Name,1.0,dude honestly this is one of the most overrated movies of all time. like wayyyy too much grandma storyline. maybe my expectations were too high bc of how highly ppl regard this movie but i never write reviews either and this one honestly had to be said. wish i didnt waste my time,positive
No Name,5.0,"if you've been there, this movie will remind you why you left that life behind... unbelievable film. 5/5",negative
No Name,3.5,"it's a well-made and captivating movie. but it's not an easy watch. you will leave this movie feeling very uncomfortable and sad. but not in a good way. i felt really icky after watching this movie. still, the script is incredibly compelling, and it deserves the recognition that it received. however, i kinda wish that i never watched it.",positive
No Name,4.0,this slow burn will make your skin crawl by the end. it's depiction of 4 people's descent into madness is unsettling and striking to say the least.,negative
No Name,5.0,very familiar stories,positive
No Name,5.0,"masterpiece, genius. 11/10 i loved this film! however this is traumatic!",positive
No Name,2.5,"it’s well made from a technical standpoint, but i just can’t endorse this movie's overly disturbing take on the bad that can come from drug use. the characters are one dimensional and merely exist just to be tortured",negative
No Name,4.0,"hard watch, that's for sure. ellen b and jared leto acting phenomenal. cringey in parts, his arm. don't think i'll watch it again though, once is enough.",positive
No Name,1.0,"this really is pretentious to the nth degree. ellen burstyn did a great job, i'll give you that. but the film ( sorry movie) is so far up it's own *ss, it doesn't know whether it's coming or going. it's doesn't help that it has jared leto in it, because he just adds to the pretentiousness somewwhat. hard hitting, hard to watch, so can only do once. come on, it's not that bad! people need to watch trainspotting. because it has humour, so when the hard hitting moments come, they make so much more impact.",negative
No Name,5.0,"unflinching, hard to watch, though an absolute must-watch, ""requiem for a dream"" is a gut-wrenchingly horrific look into the dangers of substance abuse that gets its point across a little too well. phenomenal acting and a powerful script help elevate the movie as well, though it really is the overall message that gets imprinted into your brain. genuinely one of the most disturbing watches i've seen to date, but an absolutely necessary one to watch at least (and possibly most) once.",positive
No Name,4.0,"wow, i kept putting this movie off as i thought it was going to be slow, depressing and hard to get through but i was wrong this movie kept me glued to my seat. i am glad i gave it a try.",negative
No Name,4.5,reamente perturbadora,neutral
